Run,AUC,TSize,time,Method
simResultsRaw/pathwayPCA_sim_20201201/sim057,0.7022222222222222,0.15555555555555556,3.39864158233007,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim058,0.5244444444444445,0.08888888888888889,3.36122785011927,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim059,0.42666666666666664,0.06666666666666667,3.37964214881261,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim060,0.6266666666666667,0.08888888888888889,3.41577959855398,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim061,0.5155555555555555,0.08888888888888889,3.36147988239924,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim062,0.3822222222222222,0.08888888888888889,3.3307092666626,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim063,0.3933333333333333,0.08888888888888889,3.46468305190404,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim064,0.44666666666666666,0.2222222222222222,3.39512783288956,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim065,0.7066666666666667,0.08888888888888889,3.39171698093414,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim066,0.23555555555555555,0.24444444444444444,3.43641111850739,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim067,0.3,0.08888888888888889,3.36490578651428,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim068,0.8133333333333334,0,3.33069953123728,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim069,0.3244444444444445,0.08888888888888889,3.36241836547852,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim070,0.36444444444444446,0.08888888888888889,3.37926936546961,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim071,0.12,0.08888888888888889,3.35403910080592,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim072,0.4888888888888889,0.06666666666666667,3.35913781722387,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim073,0.44666666666666666,0.26666666666666666,3.36267391840617,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim074,0.5044444444444445,0.24444444444444444,3.32644616762797,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim075,0.4,0.08888888888888889,3.31997330188751,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim076,0.6422222222222222,0.24444444444444444,3.28540271917979,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim077,0.5044444444444445,0.08888888888888889,3.30766340096792,sCCA
